Query,BPM
all the kids are depressed Jeremy Zucker
Is It Just Me? (feat. Charlie Puth) Sasha Alex Sloan
Day & Night Jung Seung Hwan
The Way I Am Charlie Puth
Tired NIve
Better ZAYN
Letter Jukjae
By My Side JUNNY
Amusement Park BAEKHYUN
Oscar pH-1
Unlock it (Lock It) - feat. Kim Petras and Jay Park Charli xcx
Rare Selena Gomez
Holiday Little Mix
Lose NIKI
Laughter OFFICIAL HIGE DANDISM
プロローグ Uru
灯火 Vaundy
"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2 Frédéric Chopin"
Five For Silver Marika Takeuchi
Cut Em Off (Trust Me) The Audibles
Fade THE DRIVER ERA
Not Strong Enough boygenius
Scared to Lose Ben Kessler
(not) a love song Liang Lawrence
To Philly Del Water Gap
Shell Ethan Tasch
